jd_no,text_job
55,"Job Title: Cloud / .NET Developer  
Location: 100% Remote  
Duration: 3 months  
Work Authorization: US Citizen or Green Card only  

Core responsibilities include developing and maintaining cloud-based applications using .NET and Azure technologies. Required technical skills include extensive experience with Azure, specifically Azure Logic Apps, Azure Service Bus, Azure Data Factory, or Azure Event Grid; strong backend development skills in .NET/C#; and familiarity with Snowflake, Kafka, and BizTalk, with recent experience in these technologies from 2020 to 2023. Knowledge of HL7 standards and recent experience in the healthcare domain are also essential."
56,"Job Title: DevOps Engineer  
Company: Hanker Systems, Inc.  
Role: Contract remote position focusing on infrastructure as code (IaC), software development, continuous integration, and system administration. Responsibilities include supporting and enhancing IT projects to ensure continuous improvement and efficiency.  
Required Skills: Experience with IaC, software development, continuous integration, strong Linux system administration, and knowledge of configuration management tools (Ansible, Puppet). Familiarity with containerization technologies (Docker, Kubernetes) and understanding of networking concepts and protocols are essential. Good problem-solving and troubleshooting skills, along with strong written and verbal communication abilities, are required. Ability to work independently in a remote setting is necessary. Relevant certifications in DevOps or related fields are advantageous."
57,"Job Title: Web Developer  
Company: DataAnnotation  

Responsibilities include developing diverse coding problems and solutions for AI chatbots, writing high-quality code snippets, and evaluating the correctness and performance of code produced by AI models. Required technical skills include proficiency in at least one programming language, such as Python, JavaScript, HTML, C++, C#, or SQL, along with problem-solving abilities comparable to platforms like LeetCode or HackerRank. Candidates must be able to articulate their coding solutions. A bachelor's degree (completed or in progress) and fluency in English (native or bilingual) are necessary. This is a remote position with flexible scheduling, offering hourly pay starting at $40+ USD, with additional bonuses for high-quality work. Payment is processed via PayPal."
58,"Job Title: Business Data Analyst  
Company: Q1 Technologies, Inc.  
Responsibilities include business analysis, stakeholder management, and effective communication to deliver insights and track product performance through dashboards. The role requires strong SQL skills, particularly in complex queries, and proficiency in Tableau for data visualization. Experience in software development life cycle (SDLC) delivery is necessary, with familiarity in waterfall, hybrid, and Agile methodologies. The candidate must work with Product and Engineering teams to understand tracking availability and identify performance gaps."
59,"Job Title: Network Engineer - DHS OSDSS with Security Clearance

Responsibilities include creating and maintaining cloud environments for Human Language Technology (HLT) tool development, facilitating technology rollouts, training linguists on HLT, troubleshooting foreign language content issues, validating features in Computer-Assisted Translation (CAT) Tool Translation Memory (TM) Servers, managing Translation Memories, identifying commercial tools, automating file analysis and parsing, and preparing files for localization. Required technical skills include proficiency in Adobe Suite, Computer-Assisted Translation, Desktop Publishing, Localization Engineering, Microsoft Office, and experience with Translation Memory servers. Candidates must possess a Bachelor's degree or 4+ years of relevant experience in the HLT field, including 4 years of interpretation experience. Language testing with ILR 2+ in translation assessment (CM>EN) is mandatory. The position is full-time and requires the ability to obtain a security clearance."
60,"Job Title: Software Engineer Front-End (Platforms Team)  
Company: FIS  
Position Type: Full-time, Experienced  
Education: Bachelor’s degree in Computer Engineering or equivalent experience  
Travel: 1 - 5%  

Responsibilities include contributing to the development of a financial technology platform, collaborating with product managers and designers, building responsive user interfaces, creating secure and scalable frontend components, translating designs into functional interfaces, maintaining technical excellence, participating in on-call rotations, and mentoring junior engineers.  

Required skills: 7+ years of software development experience, proficiency in frontend frameworks/languages such as React, Redux, JavaScript, and TypeScript, experience with testing tools (e.g., Jest, Selenium, Cypress), and strong communication skills. Experience in FinTech, payment, or banking systems is preferred.  

The role involves using Agile methodologies and requires candidates to reside in the Greater Seattle area for in-person collaboration."
61,"Job Title: Senior Data Engineer - SAP Analytics

Responsibilities include architecting and implementing SAP Analytics solutions such as SAP Analytics Suite, SAP Analytics Cloud (SAC), SAP Datasphere/Data Warehousing Cloud, and SAP Embedded Modeling, tailored to client needs. Conduct business process analyses and requirements gathering to recommend solutions that enhance data-driven decision-making. Build client relationships as a trusted advisor on SAP Analytics, oversee implementation projects ensuring timely delivery, lead cross-functional teams, and manage project risks while maintaining quality standards. Facilitate change management processes and conduct training sessions for clients on SAP Analytics solutions. Stay updated on SAP Analytics developments and foster continuous improvement.

Required qualifications include a Bachelor's or Master's degree in Business Administration, Computer Science, Information Systems, Engineering, or related fields, with a minimum of 5 years of experience in SAP consulting, particularly with SAP Analytics Suite, SAC, Datasphere/DWC, and Embedded Modeling. SAP certifications in relevant areas are preferred. Skills required include expertise in SAP Analytics, project management, client engagement, risk management, and change management. Travel may be required based on project needs."
62,"Job Title: iOS Software Engineer Intern (Creative Tools) - 2024 Summer (BS/MS)

Responsibilities include designing, building, and maintaining high-performance iOS applications for creative content creation on the TikTok platform, collaborating with product teams to translate design concepts into mobile features, optimizing application performance, and ensuring seamless integration with backend systems. Required technical skills include proficiency in Objective-C or Swift, familiarity with iOS development tools and third-party libraries, and a solid understanding of software development principles. Candidates must be pursuing a Bachelor's or Master's degree in Software Development, Computer Science, Computer Engineering, or a related field, and must have work authorization in the country of employment. Preferred qualifications include prior software engineering experience, creativity, and problem-solving skills. The internship runs for 12 weeks starting May/June 2024, with specific start date options provided. Compensation is $45.00 per hour, with additional benefits including medical insurance after 90 days, paid holidays, sick leave, and mental health support."
63,"The Director of Software Engineering at Assurant is responsible for leading application development teams focused on SaaS-based cloud applications utilizing technologies such as Salesforce, MuleSoft, Oracle, Informatica, and Azure. Key responsibilities include managing an Agile Release Train (ART), overseeing multiple teams of over 30 developers and technical staff, facilitating program increment planning, and ensuring service quality and security. The role requires a minimum of 10 years of technology experience, including 5+ years in IT team management and custom software development, with a background in Java/J2EE and .Net. Proficiency in Agile methodologies, cloud-based solutions, continuous delivery practices, and strong communication and negotiation skills are essential. A bachelor's degree in computer science or a related field is required."
64,"Position: Senior .NET Developer. Location: Remote (Eastern Time zone). Duration: 1 Year+. Responsibilities include designing and developing software solutions, communicating designs to team members, and monitoring project progress. Required qualifications: Bachelor’s degree or equivalent experience; 7+ years of ASP.NET application development; 5+ years of experience with .NET 4.5 and C#; proficiency in Object Oriented design patterns, Domain Driven Design, responsive UI design, Service Oriented Architecture, unit testing, and test driven development. Technical skills: HTML (preferably HTML5), JQuery, CSS3, Windows Communication Foundation (WCF), xUnit Unit Testing Framework, ASP.NET Web API/MVC, Angular 10+, and Microsoft SQL Server."
65,"Job Title: Network Engineer  
Company: Tata Consultancy Services  

Responsibilities include managing LAN/WAN network administration, enterprise wireless, and Cisco/Palo Alto firewall administration, with a requirement for experience in Cisco ACI. The role involves troubleshooting advanced network issues, managing network tools such as SolarWinds, Panorama, Prime, Cisco DNA, Cisco ISE, and Infoblox, and investigating causes of network problems to suggest solutions for performance optimization. The engineer will manage new and existing equipment, oversee hardware and software upgrades, and administer Zscaler (ZIA and ZPA). Required technical skills include a minimum of 5 years of experience in network management and a strong understanding of network support priorities."
66,"Job Title: Senior Software Engineer  
Company: CodeMonk  

Core Responsibilities: Lead the design, development, and maintenance of Android applications; architect and implement scalable solutions; collaborate with cross-functional teams to gather requirements; mentor junior developers; conduct code reviews; optimize application performance; implement security measures; stay updated with Android development trends.  

Required Technical Skills: Proficiency in Kotlin or Java; experience with Android development frameworks (Jetpack, RxJava); strong understanding of Android architecture patterns (MVVM, MVP, Clean Architecture); familiarity with Android Studio IDE, XML layout design, Android SDK, SQLite, Retrofit, OkHttp; knowledge of version control systems like Git; excellent problem-solving skills; effective communication and collaboration abilities.  

Technologies and Methodologies: Android development frameworks (Jetpack, RxJava), Android Studio IDE, XML, Android SDK, SQLite, Retrofit, OkHttp, MVVM, MVP, Clean Architecture.  

Domain Context: Focus on remote-first tech work environments, enabling flexible hiring and management of global tech talents."
67,"Job Title: Software Engineer, Full Stack - Agents  
Company: Adept  

Adept seeks a Software Engineer with over 6 years of experience to develop tools and infrastructure for the Adept Agent data flywheel, focusing on enterprise software solutions. Responsibilities include collaborating with Research, Product Engineering, Design, and Human Feedback teams to prototype and iterate solutions based on user feedback. Required technical skills include proficiency in TypeScript, JavaScript, and Python, as well as experience with frontend frameworks such as React and Nest.js. The role emphasizes user experience (UX) and the development of scalable, well-tested software. The position offers a salary range of $175,000 - $350,000 per year, with equity options and a comprehensive benefits package, including medical, dental, and vision insurance, unlimited vacation, and parental leave."
68,"Job Title: Java Developer  
Location: Berkeley Heights, NJ (5 days onsite)  
Duration: 12+ months  
Interview: Video  

Responsibilities include developing efficient and scalable Java applications, consulting on project design, and supporting existing business systems. Required technical skills include experience in developing complex Java applications with low latency and high throughput, Java web development (RESTful APIs using JAX-RS), and proficiency in Java, J2EE, EJB, Java Transaction, and JPA. Knowledge of Java application containers, Angular, JavaScript, HTML, and CSS is necessary. Familiarity with Java internals (garbage collection, application tuning, Java dump analysis) is preferred, along with experience running Java on IBM mainframe and knowledge of Java build and testing tools. Proficiency in DevOps tools as part of the software development lifecycle (SDLC) is required. Shell scripting experience is a plus. Strong problem-solving, analytical, troubleshooting, and communication skills are essential. Availability for production support and on-call duties is required."
69,"Job Title: Site Reliability Engineer

The Site Reliability Engineer will be responsible for owning the Information Architecture and Technical Architecture for sub-domains within the Data & Information Architecture domain. Key tasks include documenting business capabilities, ensuring adherence to architectural standards, developing strategies for capability evolution, and maintaining architectural guidance documents. The role involves participation in IT strategy development, root cause analysis, reliability planning, and collaboration with product teams. Required technical skills include experience in Information Technology, Data Management, Business Intelligence, and Analytics, with familiarity in analytics principles, data warehousing, and governance. Proficiency in frameworks such as Scaled Agile, Scrum, DevOps, and tools like Elastic Search, DBT, Snowflake, and data access languages (SQL, Python) is desired. A minimum of 7 years of relevant experience is required, with a preference for candidates holding a BA/BS in a related field. The position is hybrid, reporting to the Senior Manager of Data Solutions Architecture within the Data Analytics & Insights department."
70,"Job Title: Senior Data Engineer, Community Operations  
Company: Amazon  

The Senior Data Engineer will support the Community Insights team within Amazon's Community Operations, focusing on Business Intelligence and Research & Applied Science. Responsibilities include developing data products, infrastructure, and data pipelines using AWS services such as Redshift, EMR, and Lambda, as well as internal tools like Datanet and QuickSight. The role involves building machine learning operations (MLOps) for automated LLM modeling and data refreshes, creating new data models, and leading design reviews. Required qualifications include over 5 years of experience in data engineering, database engineering, or business analytics, proficiency in data modeling, warehousing, ETL pipeline construction, SQL, and at least one programming language (Python, Java, Scala, or NodeJS). Preferred qualifications include experience mentoring, operating large data warehouses, and familiarity with AWS tools like CloudFormation and SageMaker Model Registry. The position is based in Bellevue, WA."
71,"Job Title: Lead Java Fullstack Developer  
Company: Photon  

The Lead Java Fullstack Developer is responsible for leading the design, development, and implementation of software applications. Key responsibilities include providing technical leadership and mentorship to the development team, evaluating new technologies, and collaborating with cross-functional teams to define technical requirements. The role involves backend development using Java, Spring Boot, Cassandra, Oracle SQL, and Kafka, as well as frontend development with Vue.js and Freemarker Web Components. Project management tasks include coordinating with product managers, planning development tasks, tracking progress, and mitigating risks. Required qualifications include a Bachelor's degree in Computer Science or a related field, over 10 years of experience in full stack development with a focus on leadership, strong proficiency in backend and frontend technologies, experience with microservices architecture and cloud platforms (e.g., AWS, Azure), and excellent communication skills."
72,"Job Title: Junior Network Engineer  
Company: Insight Global  

Responsibilities include designing, configuring, installing, administering, testing, and maintaining software and hardware for servers, switches, routers, and firewalls. The role involves responding to and resolving server and network device issues, providing technical support to the IT HelpDesk, and addressing tickets using IssueTrack. Key tasks include applying patches for security and upgrades on Windows 2000/2003 servers, Exchange 2007 servers, and personal computers, as well as monitoring backup systems using Veritas Backup Exec. Candidates should have 4 years of experience configuring routers and switches, familiarity with ticketing systems, a strong understanding of subnets, and experience in software implementation and backups. A valid driver’s license is required. Preferred qualifications include a Bachelor’s degree in information technology or a related field, CCNA certification, and Microsoft MCNA or MCSE certification."
73,"Job Title: Software Engineer, Full Stack - Product  
Company: Adept  

Responsibilities include developing new products, features, and user experience (UX) approaches for the Adept Agent to enhance customer productivity. Collaboration with Research, Product, Design, and Go-To-Market (GTM) teams is essential to understand customer needs and iterate based on feedback.  

Required technical skills include 6+ years of software engineering experience, proficiency in TypeScript and JavaScript, and experience with frontend frameworks such as React and Nest.js, as well as backend development. Strong communication and collaboration skills, a focus on UX, and a passion for scalable, well-tested software development are necessary.  

Adept utilizes cutting-edge research in foundation models and agents to build enterprise software aimed at solving real business problems. The role is situated in the technology sector, specifically within AI and software development.  

Compensation includes a salary range of $175,000 - $350,000 per year, equity packages, and a comprehensive benefits plan including medical, dental, and vision insurance, unlimited vacation, remote work options, and parental leave."
74,"Job Title: Software Engineering Manager II, TV Assistant  
Company: Google  

Responsibilities include managing engineering teams, setting priorities aligned with organizational goals, developing technical vision and roadmaps, and overseeing the design and development of systems. Required qualifications include a Bachelor’s degree or equivalent experience, 8 years in software development with languages such as Python, C, C++, Java, or JavaScript, 8 years in embedded development, and 3 years in a technical leadership role, including 2 years in people management. Preferred qualifications involve 10 years in software engineering, experience with web services or mobile client software, familiarity with A/B testing, user research, voice assistants, and smart home devices, as well as strong analytical skills. Technologies and methodologies used include information retrieval, artificial intelligence, natural language processing, distributed computing, and large-scale system design. The role focuses on enhancing user experiences with Google Assistant on televisions, contributing to product strategy, and managing large-scale projects across multiple sites. Compensation includes a base salary range of $189,000-$284,000, plus bonus, equity, and benefits."
75,"Job Title: Senior Citrix Systems Engineer  
Location: Santa Clara, CA  
Duration: 6 months contract to hire  

Responsibilities include managing and administering Citrix XenDesktop, Windows Server 2016 and 2019, Active Directory (AD), and Domain Controller Administration, including DNS and GPO management in a multi-site environment. Required skills include expertise in Citrix, script automation, and experience with Microsoft products such as Exchange, SharePoint, and SQL, as well as managing migrations to O365 Cloud. Proficiency in virtualization technologies, including VMware Vcenter and Hyper-V, is essential. Knowledge of automation scripting using Windows Server PowerShell and MS Exchange Cmdlets is required. Familiarity with NAS/SAN storage, replication, load balancing, and LAN/WAN technologies is necessary. The role involves vendor collaboration for upgrades and installations, troubleshooting, and enhancing infrastructure, including VDI and Citrix ADC Load balancers. Experience with Jira Software and Confluence for workflow management is also required. The position demands the ability to work in a fast-paced IT environment, focusing on research, design, deployment, and maintenance of email services, Windows servers, and related IT operations, including the development of standards and SOPs for support and operations."
76,"Job Title: Senior Site Reliability Engineer  
Company: Atlassian  

The Senior Site Reliability Engineer (SRE) is responsible for enhancing the performance and reliability of services, addressing root causes of incidents, and reducing incident rates. Key tasks include automating repetitive work, responding to system alerts, and participating in an on-call rotation to meet service-level agreements (SLAs). Required technical skills include proficiency in Bash and Python, experience with enterprise monitoring solutions, and familiarity with Linux systems. The role involves building and maintaining infrastructure in Amazon Web Services (AWS), engaging in capacity planning, and performing software performance analysis. Preferred qualifications include experience with configuration management tools (e.g., Ansible, Puppet), container management (e.g., Docker, Kubernetes), and understanding ITIL terminology. Knowledge of continuous integration pipelines and compliance requirements (e.g., SOC2, FedRamp) is also advantageous."
77,"Job Title: Principal Software Engineer (C++) at Oracle. Responsibilities include designing, coding, debugging, and delivering analytic features in C++ for a scalable, distributed, multithreaded analytics platform for both Oracle Cloud and on-premise environments. Key tasks involve creating formal design specifications, collaborating with Product Management, adhering to coding standards, maintaining communication with project teams, and ensuring software quality through established standards and QA procedures. Required qualifications include a BS/MS in Computer Science or a related field, proficiency in C++ (including templates, STL, and object-oriented patterns), understanding of SQL and relational data processing, experience with multithreaded applications, and knowledge of data structures and operating systems. Familiarity with Agile/Scrum methodologies and source control tools like GIT is preferred. Experience in Business Intelligence, OLAP, data warehousing, and multidimensional databases is desirable. The role may require compliance with immunization and occupational health mandates for certain US customer-facing positions."
78,"Job Title: Senior Software Engineer, Project Starline at Google. Responsibilities include writing and testing product or system development code, participating in design reviews, reviewing code for best practices, contributing to documentation, and debugging product or system issues. Required qualifications: Bachelor’s degree or equivalent experience, 5 years in software development with data structures/algorithms, 3 years in testing/maintaining software products, and 1 year in software design/architecture. Preferred qualifications: Master’s degree or PhD in Computer Science or related field, 1 year in a technical leadership role, and experience in developing accessible technologies. Technologies and methodologies include information retrieval, distributed computing, large-scale system design, networking, data storage, security, artificial intelligence, natural language processing, and UI design. The role involves collaboration with Google Workspace and Research teams within a fast-paced product-oriented environment, focusing on Project Starline, which combines hardware and software to enhance remote communication. Salary range: $161,000-$239,000, plus bonus, equity, and benefits."
79,"Job Title: Business Data Analyst  
Core responsibilities include gathering and documenting business requirements, performing source to target mapping, and translating business requirements related to location data (such as building, occupancy, traffic, and persons) into structured mappings for data product development. Required technical skills include proficiency in SQL for running queries and understanding database structures. Experience with AWS and Databricks is preferred, with a focus on independently working on data products."
80,"The Senior Network Engineer position at Marvin, based in Eagan, MN, involves maintaining and administering the company's IT networks, focusing on SDWAN (Meraki) and Network Security/Firewalls (Palo Alto). Responsibilities include designing solutions for infrastructure initiatives, providing technical direction, collaborating with stakeholders to analyze requirements, implementing network security measures, and monitoring network performance. The role requires expertise in network security, firewalls, network segmentation, and enterprise-level networking across multiple locations. Candidates should possess a Bachelor's degree in IT networking or a related field, along with at least 3 years of experience in network engineering, specifically with firewall, LAN, and WAN technologies. Proficiency in network routing protocols, firewall configuration, and the ability to create network diagrams and documentation are essential. The position may require flexibility in work hours and provides 3rd level support as needed."
81,"Job Title: Frontend Developer  
Location: Pittsburgh, Pennsylvania (Hybrid)  
Duration: 12 Months Contract  

Core responsibilities include gathering requirements, developing, unit testing, and deploying both maintenance and new features for a client in the ETF sector. Required technical skills include proficiency in Angular (most recent versions 13 and 17) and RXJS, with a focus on asynchronous programming. The role demands effective communication skills and the ability to evaluate resources based on problem-solving capabilities in production environments."
82,"Job Title: MilComm Systems Engineer, Principal  
Company: MITRE  

The Principal MilComm Systems Engineer will engage with U.S. Government leadership in satellite communications and related fields, focusing on Tactical, Strategic, Narrowband, and Futures MilComm mission areas. Responsibilities include performing system engineering trade studies, analyzing systems and requirements, evaluating technologies, and proposing integration actions and modifications. The role requires a minimum of 10 years of experience in systems engineering, particularly in satellite communications, space data transport, and cyber security, along with a Bachelor’s degree in Electrical or Computer Engineering, Computer Science, or related fields. Key technical skills include expertise in satellite communications system design, command and control, link budget analysis, and risk assessment. The position necessitates strong communication skills for diverse audiences and the ability to foster partnerships across industry, academia, and government. An active U.S. government Top Secret clearance is required, with the ability to obtain a TS/SCI clearance within one year. The role is hybrid, requiring at least 50% on-site work. Salary range is $167,500 - $251,500 annually."
83,"Software Engineer position at Rose International in Mossville, IL, focusing on software application support for a large user base. Responsibilities include software application configuration, testing, troubleshooting, and user training. Required technical skills include proficiency in programming languages such as Python, Perl, and JavaScript, along with technical support experience and software testing capabilities. Familiarity with cybersecurity practices, particularly user authentication, is desired. A Bachelor's degree in Computer Science, Computer Information Systems, or a related technical field is required, with a minimum of 2 years of experience preferred, though new graduates may be considered. The role involves daily interaction with lead engineers and application users to gather requirements and manage software applications. The work environment is a shared cubicle office, with a hybrid model requiring in-office presence at least three days a week."
84,"Job Title: Senior Software Developer  
Company: Patent Bots®  
Responsibilities include developing and maintaining products focused on user experience, writing code, documentation, and tests, and ensuring security and cloud best practices. Required technical skills include proficiency in Python (5+ years), experience with pytest for testing, Git for version control, HTML, CSS, Flask, and JavaScript/jQuery. Familiarity with deploying applications on Google Cloud or AWS is necessary. The technology stack includes PaaS platforms like App Engine and Elastic Beanstalk, with a backend primarily in Python/Flask and frontend enhancements using JavaScript/jQuery. The role involves working closely with the CEO, who is also a patent attorney, on products that automate tasks for patent attorneys, such as proofreading tools and drafting automation. Desired skills include understanding UX design principles, experience with data science, machine learning (e.g., PyTorch, spaCy), web scraping, and familiarity with patents. The position is remote and open to qualified U.S.-based candidates. Salary range is $125k-$175k with potential stock options. Applications are accepted via a specified Google Forms link."
85,"Job Title: Financial Data Analyst  
Company: SkyWater Search Partners  
Posted: April 11, 2024  

Responsibilities include performing data queries, conducting data analysis, gathering requirements, and translating data needs and finance workflows for the finance team, including the CFO and COO. Required skills include 5+ years of experience in finance, proficiency in SQL, Tableau, and Microsoft tools, along with strong problem-solving and critical thinking abilities. The role involves working collaboratively across multiple teams to develop dashboards and reporting. The position is full-time and requires a hybrid work arrangement in central Minnesota. A Bachelor’s degree in Business, Finance, or a related field is preferred. The company is unable to provide sponsorship."
86,"Job Title: Data Analyst  
Company: PrimePay  

The Data Analyst is responsible for managing data analysis projects, developing and implementing data standards, and ensuring data integrity. Key tasks include collaborating with stakeholders to define project scope, implementing automation tools for data extraction and validation, overseeing database management, and monitoring data quality. Required technical skills include proficiency in Python, R, SQL, and business intelligence tools such as Tableau, Power BI, or QlikView. The role involves designing dashboards, performing statistical analysis, and applying data mining techniques to derive insights from large datasets. A Bachelor’s degree in a quantitative field and 0-2 years of relevant experience are required. Familiarity with statistical software (e.g., SPSS, SAS) and general data analysis tools (e.g., Excel, Google Sheets) is also necessary. The position supports various business functions by integrating data analytics and providing ad hoc analysis to address urgent business needs."
87,"The Senior Python Developer role at Idexcel in McLean, VA, involves developing applications using Python and Flask, creating REST APIs, and utilizing libraries such as Pandas and SQLAlchemy. The position requires proficiency in SQL, specifically with MSSQL or any RDBMS, including table design and performance tuning. Basic knowledge of Core Java and Flyway is also necessary. The developer will implement authentication and authorization mechanisms, specifically token-based systems. Experience with Docker and Jenkins for CI/CD processes is required, along with familiarity with Agile methodologies. Testing responsibilities include unit testing and using pytest. The position is hybrid and intended for local candidates."
88,"Job Title: WORDPRESS E-COMMERCE Web Developer  
Company: WJ Media Group LLC  

The Web Developer will perform back-end and front-end web development tasks, including programming, web design, and creating responsive websites. Required technical skills include proficiency in WordPress, WooCommerce, and Elementor, as well as back-end web development and programming skills. Front-end development skills must include HTML, CSS, and JavaScript. The role necessitates strong problem-solving and troubleshooting abilities, along with experience in eCommerce platforms. Effective communication and collaboration skills are also essential. This is a part-time, on-site position at a digital agency specializing in creative design and solutions for small businesses."
89,"Job Title: Java Developer  
Location: Pittsburgh, PA  
Duration: 12+ Months Contract (W2)  

Responsibilities include leading the technical design, development, and documentation of cross-functional, multi-platform distributed application systems, analyzing and documenting requirements for data and workflow, and ensuring application performance through coding, testing, and implementation. Required skills include 8+ years of software development experience, extensive knowledge of Java, Angular, Spring Boot, Microservices, and experience with distributed applications. The role involves system analysis, development, and troubleshooting, as well as planning and executing jobs independently. Candidates must have prior lead experience with vendor-specific methodologies and consulting experience with structured methodologies. Responsibilities also include reviewing and repairing legacy code, developing new programs, testing for accuracy, and documenting code throughout the development process."
90,"Job Title: Solutions Architect - Kinaxis  
Company: Genpact  

The Solutions Architect for the Supply Chain Service Line at Genpact is responsible for collaborating with clients to address supply chain and operational challenges, designing and implementing solutions using the Kinaxis RapidResponse platform. Key tasks include conducting business process analysis, advising on architectural decisions, producing technical architectures, developing system requirements, and managing project timelines. Required skills include experience with Kinaxis RapidResponse, functional knowledge of supply chain processes (e.g., demand planning, S&OP), and familiarity with ERP systems such as SAP and Oracle. Proficiency in systems integration, ETL tools, and data mapping is advantageous. A bachelor's degree in computer science, engineering, or supply chain management is preferred. The role requires effective communication, analytical thinking, and the ability to work in a fast-paced environment, with travel to client locations expected to be 25-40%."
91,"The Research Data Analyst position at the University of California, San Francisco (UCSF) involves collaborating with the Principal Investigator on NIH-funded projects aimed at enhancing hospice care for racially and ethnically minoritized older adults with Alzheimer's Disease and Related Dementias. Responsibilities include data analysis and synthesis of qualitative research, managing the Atlas.ti database, manuscript writing, project planning, participant recruitment, and community engagement. Required qualifications include a Bachelor's degree and one or more years of relevant experience, proficiency in qualitative data analysis, and strong communication skills. Preferred qualifications include a Master's degree in a relevant field, experience with health equity, hospice care, and community-based research, as well as familiarity with qualitative analysis software. The role requires discretion in handling sensitive data and the ability to work with diverse populations. The position is full-time, contract-based for two years, based at UCSF's Mission Bay campus, with a standard Monday to Friday schedule."
92,"Job Title: Network Engineer  
Company: Leidos  

Responsibilities include network management from design to implementation, maintenance, and upgrades; analyzing design specifications; implementing communication system requirements; troubleshooting network issues; and recommending modifications to network components. Required tasks involve conducting incident investigations, documenting workarounds, applying OS updates, installing and configuring hardware/software, analyzing system logs, performing backups, monitoring performance, and maintaining system diagrams and documentation. The role requires configuration and maintenance of security devices (firewalls, IDS), telecommunications systems (POTs, VoIP, VTC, VSAT), and conducting system-level testing. Qualifications include five years of experience in network engineering, a bachelor's degree in a technical discipline (or equivalent experience), and a TS/SCI w/Poly security clearance. Required certifications include Network+, CCNA Routing and Switching, CCNA Security, CCNA Video, or CCNA Voice. Technologies and methodologies used include network monitoring tools, telecommunications systems, and security protocols."
93,"Job Title: Data Engineer  
Company: Titan America  
Location: Roanoke, Virginia  

Responsibilities include designing, developing, and maintaining scalable data pipelines for extracting, transforming, and loading data from various sources, collaborating with cross-functional teams to identify data needs, developing and implementing data models, ensuring data security and privacy, monitoring and optimizing data pipeline performance, and documenting data processes and storage solutions.  

Required qualifications include a Bachelor's degree in Computer Science, Computer Engineering, or a related field, and a minimum of five years of experience as a Data Engineer or Software Developer. Essential technical skills include hands-on experience with data warehouse and transformation solutions such as Domo or Snowflake, proficiency in at least one scripting language (Python, JavaScript, or R), understanding of data modeling, integration, and quality processes, and familiarity with cloud platforms (AWS, Azure, or Google Cloud Platform). Full Stack Software Development experience is preferred but not mandatory."
94,"Job Title: Data Scientist/Machine Learning Engineer (Associate) at Valor Equity Partners. Responsibilities include developing features and machine learning models to support investment decision-making, collaborating with machine learning and software engineers to build, deploy, monitor, and maintain models, and translating project requirements into technical specifications. Required qualifications include a B.S. and/or M.S. in Computer Science, Applied Mathematics, Statistics, or a related field, with at least 2 years of experience in machine learning, data science, or statistical modeling. Proficiency in Python and SQL, including libraries such as Pandas, Scikit-Learn, PyTorch, and TensorFlow is essential. Experience in time-series modeling, graph-based modeling, supervised learning (especially XGBoost and LightGBM), and Natural Language Processing (including LLMs) is required. Additional preferred skills include experience with deploying and monitoring machine learning models, Docker, cloud platforms (AWS, Azure, GCP), modern data pipelines, and big data processing (Spark, PySpark, Scala, Dask). The tech stack includes React with Hooks, Material UI for frontend, Python and FastAPI for backend, and tools such as Google Cloud Platform, PostgreSQL, Firestore, BigQuery, Elastic Search, Prefect, Kafka, and dbt for data management."
95,"Job Title: Senior Software Engineer  
Company: Heritage Grocers Group  

The Senior Software Engineer is responsible for architecting, designing, and developing functions for supply chain systems, including integrations with third-party applications and APIs. Key tasks include estimating development efforts, participating in code reviews, maintaining existing functions, troubleshooting issues, and delivering technical specification documents. Required technical skills include over 6 years of software development experience, proficiency in C# and .NET Framework, and familiarity with Azure Datalake development. Experience with ERP systems (Finance, Retail, Warehouse Management, Business Intelligence, HRM, Merchandising), MS SQL Server (2008+), and full SDLC in an agile environment is essential. Knowledge of GitHub, Azure DevOps, Microsoft Dynamics AX or D365, and reporting tools like Power BI or Tableau is preferred. The role involves gathering business requirements, creating documentation, optimizing operational processes, and providing user support. Strong problem-solving skills, the ability to work independently and in a team, and effective communication are necessary. The position requires regular attendance, and the work environment is typical of an office and retail store, with physical demands including the ability to lift over 50 lbs. The salary range for this position is $135,000-$150,000, influenced by location, skills, and experience."
96,"Job Title: Staff Software Engineer  
Location: Bellevue, WA  
Core Responsibilities: Design, develop, and implement digital solutions for Walmart's People Technology team, focusing on scalable systems that address business problems. Collaborate with cross-functional teams to understand business requirements, draft technical specifications, and perform design and code reviews. Create and enhance applications and services across the technology stack, from front-end to back-end.  

Required Technical Skills: Minimum 8 years of experience in building highly available systems. Proficiency in cloud technologies, particularly Azure, including architecture, storage, security, and migration. Experience with CI/CD practices, backend programming languages (Java, Python, Node.js), GraphQL, data pipelines, and third-party integrations via APIs. Advanced knowledge of design patterns, data structures, algorithms, unit testing, and Test Driven Development (TDD).  

Technologies and Methodologies: Cloud architecture and deployments, CI/CD, backend languages (Java, Python, Node.js), GraphQL, data pipelines, APIs, design patterns, and TDD.  

Industry Context: The role is situated within Walmart Global Tech's Enterprise People Technology team, which supports the deployment and adoption of new technology solutions for Walmart associates, impacting millions globally."
